UniqueTitle,Description,CountSubTitles,Min-MinRate,Max-MaxRate,SalaryMinMaxValid,MultipleSubtitles,PayType,PayPeriod,UnionCode,UnionName,BargUnit,BargDesc,TitleStatus
56099,FIELD SUPERVISOR (SUMMER YOUTH,1,14,14,ValidSalary,SingleTitle,HourlySalary,Seasonal,172,SEASONALS,DC37,District Council 37,ActiveTitle
56101,SENIOR FIELD SUPERVISOR (SUMME,1,15,15,ValidSalary,SingleTitle,HourlySalary,Seasonal,172,SEASONALS,DC37,District Council 37,ActiveTitle
47,BOARD OF EDUCATION,1,0,0,ZeroMinMax,SingleTitle,NoSalListed,Annual,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,ActiveTitle
91406,CITY SEASONAL AIDE,21,11,16,ValidSalary,MultipleTitles,HourlySalary,Seasonal,172,SEASONALS,DC37,District Council 37,ActiveTitle
71205,LIFE GUARD,4,109,131,ValidSalary,MultipleTitles,HourlySalary,Seasonal,172,SEASONALS,DC37,District Council 37,ActiveTitle
71210,CHIEF LIFEGUARD,5,203,312,ValidSalary,MultipleTitles,HourlySalary,Seasonal,172,SEASONALS,DC37,District Council 37,ActiveTitle
6668,SPECIAL EXAMINER (DCAS),1,10,1000,ValidSalary,SingleTitle,AnnualSalary,Annual,665,TEMPORARY OJ,N/U,Non-Union,ActiveTitle
CTRNT,COOP TRAINEE TYPIST,1,0,6120,ValidSalary,SingleTitle,AnnualSalary,Annual,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,ActiveTitle
CTRSN,COOP TRAINEE TYPIST SENIOR,1,0,6120,ValidSalary,SingleTitle,AnnualSalary,Annual,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,ActiveTitle
56098,SUMMER CREW CHIEF,2,6395,6395,ValidSalary,MultipleTitles,AnnualSalary,Annual,662,NON COMPETITIVE OJ,N/U,Non-Union,ActiveTitle
CTRCN,COOP TRAINEE CLERICAL,1,0,7765,ValidSalary,SingleTitle,AnnualSalary,Annual,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,ActiveTitle
60944,PROGRAM RESEARCH INTERN,2,7800,7800,ValidSalary,MultipleTitles,AnnualSalary,Annual,662,NON COMPETITIVE OJ,N/U,Non-Union,ActiveTitle
6656,SPECIAL EXAMINER (PHYSICAL TES,1,10000,10000,ValidSalary,SingleTitle,AnnualSalary,Annual,993,TEMPORARY NON OJ & NON MANAGER,N/U,Non-Union,ActiveTitle
6488,COMPUTER TECHNOLOGY INTERN,1,10048,10048,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
6595,PEER COUNSELOR (HIGH SCHOOL -,1,12330,12330,ValidSalary,SingleTitle,AnnualSalary,Annual,993,TEMPORARY NON OJ & NON MANAGER,N/U,Non-Union,ActiveTitle
40860,EXAMINER OF ACCOUNTS,1,12500,12500,ValidSalary,SingleTitle,AnnualSalary,Annual,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,ActiveTitle
6461,PUBLIC SERVICE INTERNE,1,14493,14493,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
1190,CHIEF CLERK,1,0,0,ZeroMinMax,SingleTitle,NoSalListed,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
5059,PRECINCT COMMUNITY RELATIONS A,1,14470,14707,ValidSalary,SingleTitle,AnnualSalary,Annual,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,ActiveTitle
5106,ASSISTANT TO THE PRESIDENT (BR,1,16200,16200,ValidSalary,SingleTitle,AnnualSalary,Annual,665,TEMPORARY OJ,N/U,Non-Union,ActiveTitle
6258,LIFEGUARD (JUVENILE JUSTICE),1,14430,17433,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
6146,POLICE CADET,1,17758,17758,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
9140A,CITY SEASONAL AIDE (DOS ONLY),1,12131,17959,ValidSalary,SingleTitle,AnnualSalary,Seasonal,172,SEASONALS,DC37,District Council 37,ActiveTitle
