Description,n,Title
NYPD Officer,24442,POLICE OFFICER (RECURRING NIGH
DOC Officer,10159,CORRECTION OFFICER
FDNY Firefighter,8720,FIREFIGHTER
DSNY Sanitation Worker,6670,SANITATION WORKER
Community Associate (All Agencies),5442,COMMUNITY ASSOCIATE
NYPD School Safety Agency,5373,SCHOOL SAFETY AGENT
NYPD Seargant,4175,SERGEANT (RECURRING NIGHT SHIF
Community Coordinator (All Agencies),4074,COMMUNITY COORDINATOR
NYCHA Caretaker,3562,CARETAKER (HA)
NYPD Detective,3377,POLICE OFFICER D/A DETECTIVE 3
