"","agency","year","Count","sal"
"1","ADMINISTRATION FOR CHILDRE",2014,1432,59732.3966480447
"2","ADMINISTRATION FOR CHILDRE",2015,1553,62590.8274307791
"3","ADMINISTRATION FOR CHILDRE",2016,1482,63971.0087719298
"4","ADMINISTRATION FOR CHILDRE",2017,1648,66180.0072815534
"5","BOARD OF CORRECTIONS",2014,4,66685
"6","BOARD OF CORRECTIONS",2015,5,69880.2
"7","BOARD OF CORRECTIONS",2016,4,71354.25
"8","BOARD OF CORRECTIONS",2017,9,67972.1111111111
"9","BOROUGH PRESIDENT-BRONX",2014,34,66180.3235294118
"10","BOROUGH PRESIDENT-BRONX",2015,32,62412.125
"11","BOROUGH PRESIDENT-BRONX",2016,30,64474.5333333333
"12","BOROUGH PRESIDENT-BRONX",2017,30,64928.7
"13","BOROUGH PRESIDENT-BROOKLYN",2014,32,55475.84375
"14","BOROUGH PRESIDENT-BROOKLYN",2015,37,56183.5675675676
"15","BOROUGH PRESIDENT-BROOKLYN",2016,33,59080.8181818182
"16","BOROUGH PRESIDENT-BROOKLYN",2017,33,60662.1212121212
"17","BOROUGH PRESIDENT-MANHATTA",2014,28,62518.0978571429
"18","BOROUGH PRESIDENT-MANHATTA",2015,31,63838.1529032258
"19","BOROUGH PRESIDENT-MANHATTA",2016,24,61119.4891666667
"20","BOROUGH PRESIDENT-MANHATTA",2017,29,60928.5427586207
"21","BOROUGH PRESIDENT-QUEENS",2014,34,53073.6470588235
"22","BOROUGH PRESIDENT-QUEENS",2015,39,55643.6153846154
"23","BOROUGH PRESIDENT-QUEENS",2016,34,56415.1470588235
"24","BOROUGH PRESIDENT-QUEENS",2017,35,58138.6285714286
"25","BOROUGH PRESIDENT-RICHMOND",2014,14,60866.5714285714
"26","BOROUGH PRESIDENT-RICHMOND",2015,15,62099.6
"27","BOROUGH PRESIDENT-RICHMOND",2016,14,63843
"28","BOROUGH PRESIDENT-RICHMOND",2017,15,64391
"29","BUSINESS INTEGRITY COMMISS",2014,52,70927.1923076923
"30","BUSINESS INTEGRITY COMMISS",2015,64,71922.078125
"31","BUSINESS INTEGRITY COMMISS",2016,59,69806.2542372881
"32","BUSINESS INTEGRITY COMMISS",2017,71,68089.7042253521
"33","CAMPAIGN FINANCE BOARD",2014,9,117336.222222222
"34","CAMPAIGN FINANCE BOARD",2015,10,129195.8
"35","CAMPAIGN FINANCE BOARD",2016,6,154937.666666667
"36","CAMPAIGN FINANCE BOARD",2017,4,160581
"37","CITY CLERK",2014,42,48788.4285714286
"38","CITY CLERK",2015,53,47443.1698113208
"39","CITY CLERK",2016,45,46516.6
"40","CITY CLERK",2017,51,47426.0588235294
"41","CIVIL SERVICE COMMISSION",2014,4,40472.5
"42","CIVIL SERVICE COMMISSION",2015,7,63678.4285714286
"43","CIVIL SERVICE COMMISSION",2016,6,70340.5
"44","CIVIL SERVICE COMMISSION",2017,7,73065.8571428571
"45","CIVILIAN COMPLAINT REVIEW",2014,31,72648.2235483871
"46","CIVILIAN COMPLAINT REVIEW",2015,40,71804.85
